Stage,Day,Start,Finish,Artist,Artist.1,Artist.2,Artist.3,Artist.4,Artist.5,Artist.6
Pyramid,Friday,22:15,23:45,Billie Eilish,,,,,,
Pyramid,Friday,20:15,21:15,Sam Fender,,,,,,
Pyramid,Friday,18:15,19:30,Robert Plant & Alison Krauss,Robert Plant,Alison Krauss,,,,
Pyramid,Friday,16:45,17:45,Wolf Alice,,,,,,
Pyramid,Friday,15:15,16:15,Crowded House,,,,,,
Pyramid,Friday,13:45,14:45,Rufus Wainwright,,,,,,
Pyramid,Friday,12:15,13:15,Ziggy Marley,,,,,,
Pyramid,Saturday,21:30,23:45,Paul McCartney,,,,,,
Pyramid,Saturday,19:15,20:30,Noel Gallagher's High Flying Birds,,,,,,
Pyramid,Saturday,17:30,18:30,HAIM,,,,,,
Pyramid,Saturday,16:00,16:45,AJ Tracey,,,,,,
Pyramid,Saturday,14:30,15:30,Easy Life,,,,,,
Pyramid,Saturday,13:15,14:00,Joy Crookes,,,,,,
Pyramid,Saturday,12:00,12:45,Les Amazons D'Afrique,,,,,,
Pyramid,Sunday,21:45,23:15,Kendrick Lamar,,,,,,
Pyramid,Sunday,19:30,20:45,Lorde,,,,,,
Pyramid,Sunday,17:45,18:45,Elbow,,,,,,
Pyramid,Sunday,16:00,17:15,Diana Ross,,,,,,
Pyramid,Sunday,14:00,15:00,Herbie Hancock,,,,,,
Pyramid,Sunday,12:45,13:30,Dakhabrakha,,,,,,
Pyramid,Sunday,11:30,12:15,Black Dyke Band,,,,,,
Other Stage,Friday,22:30,23:45,Foals,,,,,,
Other Stage,Friday,20:30,21:30,St. Vincent,,,,,,
Other Stage,Friday,18:45,19:45,IDLES,,,,,,
Other Stage,Friday,17:15,18:15,Supergrass,,,,,,
Other Stage,Friday,15:45,16:45,First Aid Kit,,,,,,
Other Stage,Friday,14:15,15:15,Blossoms,,,,,,
Other Stage,Friday,13:00,13:45,Kae Tempest,,,,,,
Other Stage,Friday,11:30,12:30,The Libertines,,,,,,
Other Stage,Saturday,22:30,23:45,Megan Thee Stallion,,,,,,
Other Stage,Saturday,20:30,21:30,Burna Boy,,,,,,
Other Stage,Saturday,18:45,19:45,Olivia Rodrigo,,,,,,
Other Stage,Saturday,17:15,18:15,Glass Animals,,,,,,
Other Stage,Saturday,15:45,16:45,Metronomy,,,,,,
Other Stage,Saturday,14:15,15:15,Skunk Anansie,,,,,,
Other Stage,Saturday,13:00,13:45,Tems,,,,,,
Other Stage,Saturday,11:45,12:30,Hak Baker,,,,,,
Other Stage,Sunday,21:45,23:15,Pet Shop Boys,,,,,,
Other Stage,Sunday,19:45,20:45,Years & Years,,,,,,
Other Stage,Sunday,18:00,19:00,Kacey Musgraves,,,,,,
Other Stage,Sunday,16:30,17:30,Fontaines DC,,,,,,
Other Stage,Sunday,15:00,16:00,Declan McKenna,,,,,,
Other Stage,Sunday,13:30,14:30,Lianne La Havas,,,,,,
Other Stage,Sunday,12:15,13:00,Sea Girls,,,,,,
Other Stage,Sunday,11:00,11:45,Kojey Radical,,,,,,
West Holts Stage,Friday,22:15,23:45,Little Simz,,,,,,
West Holts Stage,Friday,20:30,21:30,Bonobo,,,,,,
West Holts Stage,Friday,19:00,20:00,Sea Kuti & Egypt 80,Sea Kuti,Egypt 80,,,,
West Holts Stage,Friday,17:30,18:30,TLC,,,,,,
West Holts Stage,Friday,16:00,17:00,Sleaford Mods,,,,,,
West Holts Stage,Friday,14:30,15:30,Greentea Peng,,,,,,
West Holts Stage,Friday,13:00,14:00,Arooj Aftab,,,,,,
West Holts Stage,Friday,11:30,12:30,Nubiyan Twist,,,,,,
West Holts Stage,Saturday,22:15,23:45,Roisin Murphy,,,,,,
West Holts Stage,Saturday,20:30,21:30,Caribou,,,,,,
West Holts Stage,Saturday,19:00,20:00,Leon Bridges,,,,,,
West Holts Stage,Saturday,17:30,18:30,Celeste,,,,,,
West Holts Stage,Saturday,16:15,17:00,Yves Tumor,,,,,,
West Holts Stage,Saturday,14:45,15:45,Black MIDI,,,,,,
West Holts Stage,Saturday,13:15,14:15,Brass Against,,,,,,
West Holts Stage,Saturday,11:30,12:30,Kikagaku Moyo,,,,,,
West Holts Stage,Sunday,21:45,23:15,Bicep,,,,,,
West Holts Stage,Sunday,20:00,21:00,Angelique Kidjo,,,,,,
West Holts Stage,Sunday,18:30,19:30,Koffee,,,,,,
West Holts Stage,Sunday,17:00,18:00,Snarky Puppy,,,,,,
West Holts Stage,Sunday,15:30,16:30,Nubya Garcia,,,,,,
West Holts Stage,Sunday,14:00,15:00,Nightmares On Wax,,,,,,
West Holts Stage,Sunday,12:30,13:30,Emma-Jean Thackray,,,,,,
West Holts Stage,Sunday,11:00,12:00,Ishmael Ensemble,,,,,,
John Peel Stage,Friday,22:30,23:45,Primal Scream,,,,,,
John Peel Stage,Friday,21:00,22:00,The Jesus and Mary Chain,,,,,,
John Peel Stage,Friday,19:30,20:30,Phoebe Bridgers,,,,,,
John Peel Stage,Friday,18:00,19:00,Sigrid,,,,,,
John Peel Stage,Friday,16:30,17:30,Girl in Red,,,,,,
John Peel Stage,Friday,15:15,16:00,Inhaler,,,,,,
John Peel Stage,Friday,14:00,14:45,Griff,,,,,,
John Peel Stage,Friday,12:45,13:30,Bad Boy Chiller Crew,,,,,,
John Peel Stage,Friday,11:30,12:15,English Teacher,,,,,,
John Peel Stage,Saturday,22:30,23:45,Jamie T,,,,,,
John Peel Stage,Saturday,21:00,22:00,Yungblud,,,,,,
John Peel Stage,Saturday,19:30,20:30,Ghetts,,,,,,
