Area,Stage,Colour
Main Stages,Pyramid,darkred
Main Stages,Other Stage,darkred
Main Stages,West Holts Stage,darkred
Main Stages,John Peel Stage,darkred
Main Stages,The Park Stage,darkred
Main Stages,Acoustic Stage,darkred
Main Stages,Avalon Stage,darkred
Main Stages,Left Field,darkred
Main Stages,Arcadia,darkred
Main Stages,Sonic,darkred
Silver Hayes,Wow,purple
Silver Hayes,Lonely Hearts Club,purple
Silver Hayes,Firmly Rooted,purple
The Park,Stonebridge Bar,green
The Park,The Rabbit Hole,green
The Park,Rabbit Hole's Funkingham Palace,green
The Park,Free University of Glastonbury,green
Glade,Glade,blue
Glade,Glade Dome,blue
Block9,IICON,yellow
Block9,Genosys Sound System,yellow
Block9,NYC Downlow,yellow
Block9,The Meat Rack,yellow
The Common,The Temple,orange
The Common,Totem,orange
The Common,Totem Talks,orange
The Common,The Rum Shack,orange
Shangri-La,Gas Tower,black
Shangri-La,Truth Stage,black
Shangri-La,Platform 23,black
Shangri-La,The Sistxrhood,black
